Key,Frame,ClosestTriggerFrame
j,142,120
d,232,210
k,316,300
f,378,360
f,502,477
j,533,514
j,604,585
k,633,620
d,678,666
d,685,666
f,749,725
k,808,790
j,885,855
j,934,910
k,935,910
d,999,975
f,1048,1030
