Key,Frame,ClosestTriggerFrame
j,171,120
f,258,210
j,349,300
d,419,360
f,540,514
k,574,514
j,623,620
k,655,620
d,699,666
j,775,725
j,844,790
f,891,855
k,950,910
d,1024,975
j,1069,1030
