Key,Frame,ClosestTriggerFrame
f,171,120
d,240,210
k,326,300
f,390,360
d,504,477
j,541,514
j,612,585
k,641,620
d,689,666
f,758,725
k,806,790
d,877,855
k,926,910
f,1007,975
k,1053,1030
