Key,Frame,ClosestTriggerFrame
k,143,120
d,234,210
k,323,300
d,383,360
f,491,477
j,529,514
k,601,585
j,633,620
k,639,620
d,686,666
f,753,725
k,812,790
d,880,855
k,932,910
l,933,910
d,991,975
f,1051,1030
